港台,#genre#
ELEVEN2,http://60.249.146.250:8567/http/60.251.39.91:8078/hls/26/80/esport2.m3u8
斗鱼音乐,http://qytv.win86.top/tv/dytv.php?id=9588891
虎牙音乐榜,http://txtest-xp2p.p2p.huya.com/src/1099531740260-1099531740260-86382461021323264-2199063603976-10057-A-0-1.xs
倚天屠龙记,http://1.117.152.239:39000/huya.php?id=11602051
神雕侠侣,http://1.117.152.239:39000/huya.php?id=11352964
斗鱼$庆余年,http://qytv.win86.top/tv/dytv.php?id=7489563
广东体育,http://e59abdd420c65d43cc1550d493a88c71.v.smtcdns.net/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel34/2300.m3u8
PP体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8

SP(P2p)_q,#genre#
松視1,mitv://ns2.hellotvvod.com:9906/d26e39a5f79a40c0b3e430888c5ae244.ts
松視1,p5p://crfccs.kingh888.com:16666/60ab2744000d91cc0e611b49573518f1 
松視1,p5p://192.240.110.203:16666/60ab2744000d91cc0e611b49573518f1
松視2,https://flv3948069e.live.126.net/live/sytv_56830b3d6e8464f8479dde69be773622.flv
松視2,p5p://45.92.126.18:9906/60e5c644000b70ee0cfbe2ab20648a6b
松視2,p5p://fccs.123178.top:9906/60e5c644000b70ee0cfbe2ab20648a6b
松視2,rtmp://125.227.196.250:1935/live/PineVision2 
松視2,p8p://crfccs.kingh888.com:16666/60ab2759000359320e616ab455299cce.ts
松視2,p5p://crfccs.kingh888.com:16666/60ab2759000359320e616ab455299cce
松視2,mitv://ns2.hellotvvod.com:9906/250af9c54ac14378bd2f07bb7c0c408b.ts
松視2,p5p://192.240.110.203:16666/60ab2759000359320e616ab455299cce
松視2,http://ott3.alwaysdata.net/live/test.php?id=1
松視2,http://ott3.alwaysdata.net/live/av.php?id=5
松視3,https://flv3948069e.live.126.net/live/sytv_ca330b8dfe8461e4b3bdde39ce773e83.flv
松視3,p5p://45.92.126.18:9906/60e5c670000a55dc0cfc8e43fe53445e
松視3,p5p://fccs.123178.top:9906/60e5c670000a55dc0cfc8e43fe53445e
松視3,rtmp://125.227.196.250:1935/live/PineVision3 
松視3,mitv://ns2.hellotvvod.com:9906/5fabc0b58887475e85ed2f1eb77d9de2.ts
松視3,http://ott3.alwaysdata.net/live/test.php?id=2
潘多拉玩美台,https://flv3948069e.live.126.net/live/sytv_30630b464e846ca2cb9ddefe0e773e87.flv
潘多拉玩美台,rtmp://125.227.196.250:1935/live/PandoraPlays 
潘多拉玩美台,mitv://ns2.hellotvvod.com:9906/fe6b69fa1cad4dcc9d71d9b4503b3f61.ts
潘多拉玩美台,p5p://crfccs.kingh888.com:16666/60ab279b0002b9f90e626c5b4a6b3931
潘多拉玩美台,p5p://192.240.110.203:16666/60ab279b0002b9f90e626c5b4a6b3931
潘多拉玩美台,p2p://860969650:9906/fe6b69fa1cad4dcc9d71d9b4503b3f61
潘多拉玩美台,http://ott3.alwaysdata.net/live/test.php?id=3
潘多拉玩美台,p5p://45.92.126.18:9906/60e5c6c10007bff20cfdca01da007296
潘朵拉粉红台,rtmp://125.227.196.250:1935/live/PandoraPink 
潘朵拉粉红台,p5p://45.92.126.18:9906/60fd2d970005922100ecb55d2f333764
潘朵拉粉红台,p5p://fccs.123178.top:9906/60fd2d970005922100ecb55d2f333764
潘朵拉粉红台,mitv://ns2.hellotvvod.com:9906/2c987e0d3e74400d946478e92ba491e6.ts
潘朵拉粉红台,p2p://860969650:9906/2c987e0d3e74400d946478e92ba491e6
彩虹電影,p8p://crfccs.kingh888.com:16666/60ab2705000438470e6022cd64274913.ts
彩虹電影,p5p://crfccs.kingh888.com:16666/60ab2705000438470e6022cd64274913
彩虹電影,mitv://ns2.hellotvvod.com:9906/cc404855490643bb968e764f6e2f0fb9.ts
彩虹電影,p5p://192.240.110.203:16666/60ab2705000438470e6022cd64274913
彩虹e台,rtmp://125.227.196.250:1935/live/Rainbowmovie 
彩虹e台,p5p://45.92.126.18:9906/60e5c5e4000b60ac0cfa6ba7ff5ef206
彩虹e台,p5p://fccs.123178.top:9906/60e5c5e4000b60ac0cfa6ba7ff5ef206
